d,BD6,DF132,LD12,KD42
851,16416,17581,15850,17449
852,16445,17607,15875,17474
853,16471,17633,15898,17500
854,16496,17661,15920,17525
855,16522,17690,15943,17550
856,16548,17720,15969,17575
857,16575,17751,15996,17599
858,16602,17782,16026,17622
859,16631,17810,16056,17646
860,16658,17836,16086,17670
861,16683,17859,16115,17696
862,16705,17879,16140,17723
863,16723,17895,16160,17748
864,16736,17908,16174,17771
865,16746,17918,16183,17790
866,16753,17924,16187,17803
867,16755,17929,16186,17810
868,16755,17930,16181,17811
869,16751,17928,16172,17803
870,16742,17922,16159,17789
871,16728,17911,16143,17767
872,16710,17895,16123,17740
873,16686,17873,16099,17709
874,16660,17846,16074,17675
875,16631,17817,16046,17641
876,16603,17786,16018,17607
877,16576,17757,15990,17577
878,16552,17730,15966,17551
879,16532,17709,15945,17530
880,16515,17691,15929,17515
881,16502,17679,15918,17505
882,16490,17671,15910,17499
883,16481,17665,15906,17496
884,16473,17661,15903,17493
885,16468,17658,15900,17492
886,16466,17655,15899,17490
887,16468,17655,15899,17491
888,16475,17657,15901,17493
889,16485,17663,15908,17498
890,16498,17674,15917,17507
891,16512,17687,15931,17517
892,16526,17704,15946,17530
893,16541,17724,15963,17545
894,16556,17745,15981,17563
895,16573,17768,16000,17583
896,16592,17792,16021,17606
897,16613,17816,16044,17631
898,16638,17841,16068,17658
899,16664,17866,16093,17684
900,16692,17890,16119,17709
901,16718,17914,16143,17733
902,16744,17940,16165,17755
903,16769,17966,16186,17777
904,16793,17994,16207,17799
905,16818,18024,16229,17823
906,16844,18054,16252,17849
907,16871,18083,16277,17876
908,16900,18110,16302,17905
909,16927,18133,16327,17933
910,16951,18153,16351,17958
911,16972,18168,16372,17980
912,16989,18182,16391,17997
913,17005,18194,16410,18012
914,17022,18207,16428,18026
915,17042,18222,16447,18041
916,17068,18239,16468,18060
917,17097,18259,16492,18083
918,17129,18283,16518,18110
919,17162,18308,16545,18141
920,17192,18336,16574,18173
921,17219,18365,16602,18205
922,17244,18395,16630,18234
923,17267,18425,16657,18261
924,17290,18456,16684,18285
925,17315,18486,16712,18308
926,17343,18517,16740,18331
927,17374,18548,16770,18358
928,17408,18580,16800,18388
929,17442,18613,16831,18423
930,17476,18647,16862,18461
931,17509,18682,16892,18501
932,17540,18718,16923,18541
933,17571,18753,16955,18580
934,17601,18786,16986,18616
935,17631,18815,17017,18646
936,17659,18840,17045,18671
937,17683,18858,17067,18689
938,17701,18868,17082,18698
